Month,shopID,Cat,itemID,MeanPrice,n
1,0,100,1000001,420.0,3.013351278808027
1,0,100,1000002,250.0,0.7162296834127562
1,0,100,1000003,226.9418960244648,-0.43233111428487947
1,0,100,1000004,120.0,0.14194928456393835
1,0,100,1000005,220.0,4.161912076505662
1,0,100,1000006,190.0,0.7162296834127562
1,0,100,1000007,250.0,0.14194928456393835
1,0,100,1000008,190.0,1.8647904811103917
1,0,100,1000009,250.0,0.14194928456393835
1,0,100,1000010,330.1928104575163,-0.43233111428487947
1,0,100,1000011,243.59375,-0.43233111428487947
1,0,100,1002291,411.3731380168388,-0.43233111428487947
1,0,100,1002377,355.7831325301205,-0.43233111428487947
1,0,100,1002503,341.49122807017545,-0.43233111428487947
1,0,100,1002582,668.8386939472399,-0.43233111428487947
1,0,110,1100001,422.42592592592587,-0.43233111428487947
1,0,110,1100002,167.35185566067918,-0.43233111428487947
1,0,120,1200001,510.0,0.14194928456393835
1,0,120,1200002,510.0,0.14194928456393835
1,0,120,1200003,410.0,0.7162296834127562
1,0,120,1200004,410.0,1.8647904811103917
1,0,120,1200005,266.52866242038215,-0.43233111428487947
1,0,120,1200006,335.90225563909775,-0.43233111428487947
1,0,120,1200007,202.0,2.439070879959209
1,0,120,1200008,250.0,0.7162296834127562
1,0,120,1200009,250.0,0.14194928456393835
1,0,120,1200010,190.0,0.7162296834127562
1,0,120,1200011,442.5261869799314,-0.43233111428487947
1,0,120,1200012,510.0,0.14194928456393835
1,0,120,1200013,510.0,0.14194928456393835
1,0,120,1200014,330.0,0.14194928456393835
1,0,120,1200015,190.0,0.14194928456393835
1,0,120,1200016,288.3773408239701,-0.43233111428487947
1,0,120,1200017,337.0987654320988,-0.43233111428487947
1,0,120,1200018,340.0,0.14194928456393835
1,0,120,1200019,510.0,0.14194928456393835
1,0,120,1200020,250.0,0.14194928456393835
1,0,120,1200021,510.0,1.290510082261574
1,0,120,1200022,443.3333333333333,1.290510082261574
1,0,120,1200023,510.0,0.14194928456393835
1,0,120,1200024,440.0,0.7162296834127562
1,0,120,1200025,510.0,0.14194928456393835
1,0,120,1200026,332.4731182795699,-0.43233111428487947
1,0,120,1200027,340.0,0.7162296834127562
1,0,120,1200028,420.0,0.14194928456393835
1,0,120,1200029,190.0,0.14194928456393835
1,0,120,1200030,510.0,1.290510082261574
1,0,120,1200031,340.0,0.14194928456393835
1,0,120,1200032,600.0,1.290510082261574
1,0,120,1200033,290.0,0.14194928456393835
1,0,120,1200034,907.1254681647939,-0.43233111428487947
1,0,120,1200035,914.3956043956044,-0.43233111428487947
1,0,120,1200036,500.70436507936506,-0.43233111428487947
1,0,120,1200037,3603.9240506329115,-0.43233111428487947
1,0,120,1200038,331.1931818181818,-0.43233111428487947
1,0,120,1200039,336.38655462184875,-0.43233111428487947
1,0,120,1200040,501.125,-0.43233111428487947
1,0,120,1201262,582.430176565008,-0.43233111428487947
1,0,120,1201269,499.8148148148149,-0.43233111428487947
1,0,130,1300001,4096.0,2.439070879959209
1,0,130,1300002,1733.960396039604,-0.43233111428487947
1,0,140,1400001,582.5,1.8647904811103917
1,0,140,1400002,736.6666666666666,3.587631677656845
1,0,140,1400003,590.0,0.14194928456393835
1,0,140,1400004,311.9879518072289,-0.43233111428487947
1,0,140,1400898,691.8508771929825,-0.43233111428487947
1,0,150,1500001,2406.25,-0.43233111428487947
1,0,160,1600001,560.0,3.587631677656845
1,0,160,1600002,490.0,4.73619247535448
1,0,160,1600003,501.9269640447272,-0.43233111428487947
1,0,160,1600052,711.8181818181819,-0.43233111428487947
1,0,160,1600054,585.1082949308756,-0.43233111428487947
1,0,170,1700001,1700.0,3.013351278808027
1,0,170,1700002,290.0,0.14194928456393835
1,0,170,1700003,1932.857142857143,3.587631677656845
1,0,170,1700004,1500.0,1.290510082261574
1,0,170,1700005,1700.0,1.290510082261574
1,0,170,1700006,100.0,0.7162296834127562
